FIRSTNAME,LASTNAME,EMAIL,PROGRAMME,COURSE
Franky,Willars,fwillars1b@state.gov,Information Science,Java
Dolf,Perrelli,dperrelli1c@goo.ne.jp,Information Science,Java
Pattie,Sollime,psollime1d@163.com,Information Science,C#
Brena,Obispo,bobispo1e@slashdot.org,ComputerScience,C#
Abbe,Lamperti,alamperti1f@ucla.edu,Information Science,Java
Jesus,Dunthorn,jdunthorn1g@epa.gov,ComputerScience,Java
Ashly,Skellen,askellen1h@smugmug.com,Information Science,C#
Jed,Baythrop,jbaythrop1i@geocities.com,ComputerScience,C#
Merilyn,Goddard,mgoddard1j@patch.com,Information Science,C#
Silvano,D'Errico,sderrico1k@state.gov,Information Science,C#
Cairistiona,Bairnsfather,cbairnsfather1l@howstuffworks.com,Information Science,SCALA
Otes,Skews,oskews1m@fda.gov,Information Science,Java
Elli,Dulanty,edulanty1n@ifeng.com,Information Science,SCALA
Stevie,Consterdine,sconsterdine1o@icio.us,Information Science,Java
Dwayne,Whickman,dwhickman1p@umich.edu,Information Science,C#
Terrel,Dethloff,tdethloff1q@miibeian.gov.cn,Information Science,Java
Simone,Pele,spele1r@cloudflare.com,Information Science,Java
Normie,Duckels,nduckels1s@shinystat.com,ComputerScience,Java
Mort,Swires,mswires1t@census.gov,ComputerScience,Java
Gaspar,Dupoy,gdupoy1u@hao123.com,Information Science,Java
Alanson,Kinzett,akinzett1v@huffingtonpost.com,ComputerScience,Java
Berkley,Critten,bcritten1w@si.edu,Information Science,SCALA
Ty,Artis,tartis1x@ehow.com,ComputerScience,SCALA
Jacynth,Oglevie,joglevie1y@homestead.com,ComputerScience,SCALA
Jens,Barnes,jbarnes1z@netlog.com,ComputerScience,Java
Alli,Swann,aswann20@twitpic.com,ComputerScience,Java
Wallas,Anfosso,wanfosso21@arstechnica.com,ComputerScience,C#
Margie,Relfe,mrelfe22@angelfire.com,ComputerScience,Java
Frazier,Ferrey,fferrey23@photobucket.com,ComputerScience,Java
Aurelie,MacCurlye,amaccurlye24@house.gov,Information Science,Java
Valencia,Lody,vlody25@apple.com,Information Science,C#
Rorie,Swaden,rswaden26@mit.edu,ComputerScience,Java
Alister,Duchart,aduchart27@hexun.com,Information Science,SCALA
Standford,Grigg,sgrigg28@geocities.com,Information Science,SCALA
Allie,Kettlestring,akettlestring29@imageshack.us,Information Science,Java
Aguistin,Bambrough,abambrough2a@webs.com,ComputerScience,C#
Starr,Chafer,schafer2b@liveinternet.ru,ComputerScience,C#
Anthea,Cuerdale,acuerdale2c@yellowbook.com,Information Science,C#
Benson,Jeandeau,bjeandeau2d@dailymail.co.uk,Information Science,Java
Paul,Whymark,pwhymark2e@go.com,ComputerScience,Java
Willi,Rhodus,wrhodus2f@latimes.com,ComputerScience,C#
Kyle,Pavlov,kpavlov2g@nba.com,Information Science,C#
Michail,Flaune,mflaune2h@reddit.com,Information Science,SCALA
Ailyn,Algeo,aalgeo2i@arstechnica.com,ComputerScience,SCALA
Lind,Inge,linge2j@slashdot.org,ComputerScience,SCALA
Chloette,Cristou,ccristou2k@purevolume.com,ComputerScience,SCALA
Bria,Winsor,bwinsor2l@slate.com,ComputerScience,Java
Meaghan,Goldney,mgoldney2m@va.gov,ComputerScience,Java
Jerry,Tewkesbury,jtewkesbury2n@addtoany.com,ComputerScience,C#
Shelley,Burfoot,sburfoot2o@mashable.com,ComputerScience,Java
Courtnay,McVity,cmcvity2p@ustream.tv,Information Science,SCALA
Fredi,Drewett,fdrewett2q@wufoo.com,ComputerScience,C#
Burke,Tassell,btassell2r@msn.com,ComputerScience,SCALA
